deploymentID,locationID,locationName,latitude,longitude,deploymentStart,deploymentEnd,cameraID,cameraModel,baitUse,featureType,habitat,deploymentComments
DIOPSIS-231_Boer1_-_Controle_1,Boer1 - Controle 1,Boer1 - Controle 1,,,2025-06-26T01:05:49,2025-07-02T04:54:12,DIOPSIS-231,,,,,
DIOPSIS-231_Boer2_-_Drukdrainage_1,Boer2 - Drukdrainage 1,Boer2 - Drukdrainage 1,,,2025-07-17T06:03:42,2025-07-23T00:24:42,DIOPSIS-231,,,,,
DIOPSIS-231_Boer3_-_Controle_1,Boer3 - Controle 1,Boer3 - Controle 1,,,2025-06-12T20:45:31,2025-06-17T22:00:12,DIOPSIS-231,,,,,
DIOPSIS-231_Boer4_-_Controle_1,Boer4 - Controle 1,Boer4 - Controle 1,,,2025-08-13T15:25:35,2025-08-18T15:52:57,DIOPSIS-231,,,,,
DIOPSIS-231_Boer5_-_Controle_1,Boer5 - Controle 1,Boer5 - Controle 1,,,2025-06-04T18:35:22,2025-06-10T02:25:17,DIOPSIS-231,,,,,
DIOPSIS-231_Boer6_-_Controle_1,Boer6 - Controle 1,Boer6 - Controle 1,,,2025-07-09T19:30:41,2025-07-15T15:58:04,DIOPSIS-231,,,,,
DIOPSIS-231_Boer7_-_Controle_1,Boer7 - Controle 1,Boer7 - Controle 1,,,2025-06-18T11:09:11,2025-06-25T01:10:44,DIOPSIS-231,,,,,
DIOPSIS-231_Boer7_-_Drukdrainage_2,Boer7 - Drukdrainage 2,Boer7 - Drukdrainage 2,,,2025-08-05T19:03:33,2025-08-12T20:45:41,DIOPSIS-231,,,,,
DIOPSIS-231_Boer8_-_Controle_2,Boer8 - Controle 2,Boer8 - Controle 2,,,2025-07-23T22:40:15,2025-07-29T23:33:08,DIOPSIS-231,,,,,
